Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66577a6ee94c3e6d8d7b22da,5c0da14d656168000159da7a,RETURNED,Not Applicable,2024-05-29T18:56:53.837000Z,,,,,,5565,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66577c86b0e02aab96753ed9,5b9b4cc406114100010660f0,RETURNED,Not Applicable,2024-05-29T19:05:48.049000Z,,,,,,3424,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66577d4a5a2a55dcd5ebbf9c,5d829da97f572900184a7cb1,RETURNED,Not Applicable,2024-05-29T19:09:05.297000Z,,,,,,4278,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66577efc167444180ef3f4e7,62348098fd652eafce467ad0,TIMED-OUT,Not Applicable,2024-05-29T19:16:25.339000Z,,,,8990.0,,1154,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
665792391cf54b07b23676cd,602b3ed14ae791260d6d12c5,RETURNED,Not Applicable,2024-05-29T20:38:27.352000Z,,,,,,1784,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657923c5e1494d277aaf55a,63ff478aec95d54674669329,RETURNED,Not Applicable,2024-05-29T20:38:25.170000Z,,,,,,3335,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657925b6412f483218868b7,5a8dc255b093f80001a82a3c,RETURNED,Not Applicable,2024-05-29T20:44:07.095000Z,,,,,,2581,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66579270fcc730c6d46e17cd,63d5aafaa65a001c36a652b2,RETURNED,Not Applicable,2024-05-29T20:39:17.699000Z,,,,,,2539,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657928061c176ee0f148685,63667ba152dc3078210dc552,RETURNED,Not Applicable,2024-05-29T20:39:34.493000Z,,,,,,1150,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665792861ecf5d6289be5cd8,63d148b2255821a940922c1a,RETURNED,Not Applicable,2024-05-29T20:39:56.688000Z,,,,,,3581,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657928792ec5e2c1d518453,64071f8576c48034c00df845,RETURNED,Not Applicable,2024-05-29T20:44:49.404000Z,,,,,,2424,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657928f383316f361351824,642954d588469609635ad049,RETURNED,Not Applicable,2024-05-29T20:44:57.786000Z,,,,,,2508,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657929303892b97df880afa,64045393fa09ada78f0b5301,RETURNED,Not Applicable,2024-05-29T20:39:54.121000Z,,,,,,2398,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657929aea53e04216ff4831,642700bf265ab07308a02420,TIMED-OUT,Not Applicable,2024-05-29T20:40:03.681000Z,,,,3973.0,,1398,56,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6657929b41f621e598dfeeec,644e44af7a8a169a3a8ffd52,RETURNED,Not Applicable,2024-05-29T20:40:09.021000Z,,,,,,2252,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6657929c2c1e99aa0a212083,610c940475aedaf9c70a190e,RETURNED,Not Applicable,2024-05-29T20:40:03.361000Z,,,,,,6288,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665792b7da597cba6f1cf46c,63bdb63007b7ff499cb0e839,RETURNED,Not Applicable,2024-05-29T20:41:37.357000Z,,,,,,1908,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
