workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,filler_trial,internal_node_id,key_trial,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,trick_trial,error
296,Experimen 4,False,0,False,True,100,0,0,False,False,False,False,111,False,0.0-19.0,True,1,4908,[0],stimuli/0100111.jpg,178677,prediction_trial,44,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,000,2,2,True,True,True,True,110,True,0.0-21.0,False,2,1269,[2],stimuli/2000110.jpg,181174,prediction_trial,46,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,110,3,0,False,False,True,True,110,False,0.0-23.0,False,1,2348,"[0, 1]",stimuli/3110110.jpg,184323,prediction_trial,48,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,101,1,1,False,False,False,False,011,False,0.0-25.0,True,1,3113,[1],stimuli/1101011.jpg,188239,prediction_trial,50,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,001,1,1,True,True,True,True,001,True,0.0-27.0,False,1,1749,[1],stimuli/1001001.jpg,190887,prediction_trial,52,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,110,3,0,False,False,True,True,111,False,0.0-29.0,False,1,2942,"[0, 1]",stimuli/3110111.jpg,194704,prediction_trial,54,image-keyboard-response,True,
296,Experimen 4,True,1,False,False,101,3,0,False,False,True,True,111,False,0.0-31.0,False,0,3002,"[2, 0]",stimuli/3101111.jpg,198464,prediction_trial,56,image-keyboard-response,True,
296,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,110,False,0.0-33.0,False,0,4430,[0],stimuli/3100110.jpg,203778,prediction_trial,58,image-keyboard-response,True,
296,Experimen 4,True,1,False,True,001,3,2,False,True,True,True,101,False,0.0-35.0,False,2,3706,[2],stimuli/3001101.jpg,208463,prediction_trial,60,image-keyboard-response,True,
296,Experimen 4,False,0,False,True,100,0,0,False,False,False,False,101,False,0.0-37.0,True,2,4174,[0],stimuli/0100101.jpg,213427,prediction_trial,62,image-keyboard-response,False,
296,Experimen 4,True,1,False,False,011,3,1,False,False,True,True,101,False,0.0-39.0,False,1,5998,"[1, 2]",stimuli/3011101.jpg,220268,prediction_trial,64,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,100,1,1,False,False,False,False,110,False,0.0-41.0,True,1,3651,[1],stimuli/1100110.jpg,224791,prediction_trial,66,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,011,0,0,False,False,False,False,111,False,0.0-43.0,True,0,2910,[0],stimuli/0011111.jpg,228533,prediction_trial,68,image-keyboard-response,False,
296,Experimen 4,False,0,True,True,100,2,2,False,False,False,False,111,False,0.0-45.0,True,1,3232,[2],stimuli/2100111.jpg,232727,prediction_trial,70,image-keyboard-response,False,
296,Experimen 4,True,1,False,False,101,3,0,False,False,True,True,111,False,0.0-47.0,False,0,2864,"[2, 0]",stimuli/3101111.jpg,236676,prediction_trial,72,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,101,1,1,False,False,False,False,110,False,0.0-49.0,True,1,2353,[1],stimuli/1101110.jpg,239828,prediction_trial,74,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,110,3,1,False,False,True,True,011,False,0.0-51.0,False,0,4444,"[1, 0]",stimuli/3110011.jpg,245098,prediction_trial,76,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,110,0,1,False,False,True,True,011,True,0.0-53.0,False,0,2249,"[0, 1]",stimuli/0110011.jpg,248450,prediction_trial,78,image-keyboard-response,False,
296,Experimen 4,True,1,False,False,101,3,0,False,False,True,True,101,False,0.0-55.0,False,0,2297,"[2, 0]",stimuli/3101101.jpg,251704,prediction_trial,80,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,110,3,1,False,False,True,True,101,False,0.0-57.0,False,0,3601,"[1, 0]",stimuli/3110101.jpg,256296,prediction_trial,82,image-keyboard-response,True,
296,Experimen 4,True,1,False,True,001,2,2,False,True,True,True,000,True,0.0-59.0,False,2,4161,[2],stimuli/2001000.jpg,261514,prediction_trial,84,image-keyboard-response,False,
296,Experimen 4,False,0,True,True,001,0,0,False,False,False,False,111,False,0.0-61.0,True,1,4320,[0],stimuli/0001111.jpg,266699,prediction_trial,86,image-keyboard-response,False,
296,Experimen 4,False,0,False,True,001,2,2,False,False,False,False,111,False,0.0-63.0,True,0,1960,[2],stimuli/2001111.jpg,269587,prediction_trial,88,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,101,2,2,False,False,False,False,011,False,0.0-65.0,True,1,2826,"[0, 2]",stimuli/2101011.jpg,273838,prediction_trial,90,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,001,2,2,False,True,True,True,100,True,0.0-67.0,False,2,3001,[2],stimuli/2001100.jpg,277718,prediction_trial,92,image-keyboard-response,False,
296,Experimen 4,True,1,False,False,101,0,0,False,False,True,True,011,True,0.0-69.0,False,0,2703,"[2, 0]",stimuli/0101011.jpg,281367,prediction_trial,94,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,111,False,0.0-71.0,False,0,3247,[0],stimuli/3100111.jpg,285296,prediction_trial,96,image-keyboard-response,True,
296,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,101,False,0.0-73.0,False,0,2001,[0],stimuli/3100101.jpg,288004,prediction_trial,98,image-keyboard-response,True,
296,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,110,False,0.0-75.0,False,0,1942,[0],stimuli/3100110.jpg,290637,prediction_trial,100,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,000,0,0,False,True,False,True,100,True,0.0-77.0,False,0,3269,[0],stimuli/0000100.jpg,294621,prediction_trial,102,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,111,2,2,False,False,False,False,111,True,0.0-79.0,False,1,2393,"[2, 1, 0]",stimuli/2111111.jpg,297774,prediction_trial,104,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,001,2,2,False,True,True,True,110,True,0.0-81.0,False,2,2069,[2],stimuli/2001110.jpg,300746,prediction_trial,106,image-keyboard-response,False,
296,Experimen 4,True,1,False,False,110,3,0,False,False,True,True,011,False,0.0-83.0,False,0,2553,"[1, 0]",stimuli/3110011.jpg,304009,prediction_trial,108,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,011,2,2,False,False,False,False,101,False,0.0-85.0,True,0,3500,"[1, 2]",stimuli/2011101.jpg,308223,prediction_trial,110,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,001,3,2,False,True,True,True,111,False,0.0-87.0,False,2,2388,[2],stimuli/3001111.jpg,311497,prediction_trial,112,image-keyboard-response,True,
296,Experimen 4,True,1,False,True,100,3,0,False,True,True,True,111,False,0.0-89.0,False,0,2082,[0],stimuli/3100111.jpg,314304,prediction_trial,114,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,010,2,2,False,False,False,False,011,False,0.0-91.0,True,2,2878,[2],stimuli/2010011.jpg,317896,prediction_trial,116,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,000,0,0,True,True,True,True,000,True,0.0-93.0,False,0,2031,[0],stimuli/0000000.jpg,320670,prediction_trial,118,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,001,2,2,False,True,False,True,001,True,0.0-95.0,False,2,1694,[2],stimuli/2001001.jpg,323163,prediction_trial,120,image-keyboard-response,False,
296,Experimen 4,False,0,False,True,001,2,2,False,False,False,False,101,False,0.0-97.0,True,0,3212,[2],stimuli/2001101.jpg,327112,prediction_trial,122,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,001,1,1,True,True,True,True,000,True,0.0-99.0,False,1,1401,[1],stimuli/1001000.jpg,329344,prediction_trial,124,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,101,1,1,True,True,True,True,100,True,0.0-101.0,False,1,1362,[1],stimuli/1101100.jpg,331476,prediction_trial,126,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,100,1,1,False,False,False,False,011,False,0.0-103.0,True,1,2087,[1],stimuli/1100011.jpg,334176,prediction_trial,128,image-keyboard-response,False,
296,Experimen 4,False,0,False,False,110,3,1,False,False,True,True,111,False,0.0-105.0,False,2,2098,"[0, 1]",stimuli/3110111.jpg,337049,prediction_trial,130,image-keyboard-response,True,
296,Experimen 4,False,0,False,False,101,3,2,False,False,True,True,101,False,0.0-107.0,False,0,1992,"[2, 0]",stimuli/3101101.jpg,339766,prediction_trial,132,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,011,0,0,True,True,True,True,010,True,0.0-109.0,False,0,1389,[0],stimuli/0011010.jpg,342152,prediction_trial,134,image-keyboard-response,False,
296,Experimen 4,True,1,False,True,010,3,1,False,True,True,True,110,False,0.0-111.0,False,1,1872,[1],stimuli/3010110.jpg,344775,prediction_trial,136,image-keyboard-response,True,
296,Experimen 4,True,1,True,True,001,0,0,False,False,False,False,101,False,0.0-113.0,True,0,2700,[0],stimuli/0001101.jpg,348148,prediction_trial,138,image-keyboard-response,False,
296,Experimen 4,True,1,True,True,001,1,1,False,False,False,False,110,False,0.0-115.0,True,1,2678,[1],stimuli/1001110.jpg,351463,prediction_trial,140,image-keyboard-response,False,
296,Experimen 4,False,0,False,True,010,1,1,False,False,False,False,011,False,0.0-117.0,True,2,3119,[1],stimuli/1010011.jpg,355359,prediction_trial,142,image-keyboard-response,False,
